"","F1"
"1",-2.51535976838954
"2",-3.17751158662992
"3",-2.2214376299467
"4",-1.18512542426595
"5",-1.99747069390047
"6",-2.16227453929968
"7",-0.995252091110732
"8",-4.87973857129186
"9",-1.83292518767839
"10",-1.50060840276257
"11",-0.403637129774156
"12",-1.15711603721467
"13",0.785966134121367
"14",0.400827353127515
"15",0.970828080394804
"16",0.613202135674928
"17",0.191839854803614
"18",1.15524352663489
"19",-0.984902295446393
"20",-2.99280105274152
"21",1.60920996762999
"22",1.22222684818493
"23",1.77892906614219
"24",3.10633516928389
"25",0.995150255667272
"26",-2.29924429542688
"27",1.82619702195893
"28",-1.01977217388429
"29",1.18114761336351
"30",1.00389146061821
"31",0.583854117402297
"32",0.207103132276174
"33",2.3433041226487
"34",2.1634209009612
"35",1.97929865432782
"36",-1.95028782294412
"37",-0.793069247037075
"38",-0.55861348942404
"39",-0.377541936528453
"40",-2.74541715950468
"41",-2.02392403943942
"42",-2.29229659881018
"43",-1.21500918697513
